역명,노선명,노선개수,대합실면적,승강장면적,지하상가 개수,역내편의점 개수,화장실개수,에스컬레이터 대수,엘리베이터 대수,자전거보관소 대수,물품보관함 개수,소화기 대수,스마트도서관 개수,평균승차총승객수,평균하차총승객수,평균역이용자수
학동,7호선,1,6935,2358,8,1,1,10,10,19,17,38,0,21127,22036,43164
가락시장,8호선,2,5110,2617,3,1,1,12,12,221,9,31,0,7749,8549,16298
강동구청,8호선,1,3957,1655,3,1,1,5,5,260,9,32,0,9930,10176,20107
남위례,8호선,1,4177,2168,,0,1,7,7,0,,45,0,6927,6932,13860
남한산성입구,8호선,1,3932,1480,4,1,1,4,4,52,13,30,0,13006,11784,24790
단대오거리,8호선,1,6496,1636,3,1,1,6,6,103,13,40,1,11566,11038,22605
모란,8호선,1,7758,2160,,1,1,2,2,61,9,39,0,5046,4029,9075
몽촌토성,8호선,1,6041,1373,,1,1,8,8,166,9,36,0,6881,6977,13859
문정,8호선,1,3278,1915,,1,2,8,8,70,9,36,0,19687,20501,40188
복정,8호선,1,4444,2141,,1,1,5,5,180,13,29,0,9202,7834,17037
산성,8호선,1,2874,2263,,1,1,13,13,43,9,29,0,6040,6127,12168
석촌,8호선,2,5349,1641,1,1,1,,,111,9,30,0,8055,9426,17482
송파,8호선,1,3164,1914,1,1,1,4,4,114,9,25,0,9087,8898,17986
수진,8호선,1,3402,1665,,1,1,,,36,9,28,0,5403,4988,10391
신흥,8호선,1,3196,1665,,1,1,,,55,9,27,0,5039,5205,10245
암사역사공원,8호선,1,4402,3262,,0,,12,12,0,,,0,13802,12437,26239
잠실,8호선,2,13040,2654,25,1,1,5,5,250,17,82,0,17304,19932,37236
장지,8호선,1,4099,1628,2,1,1,8,8,147,13,26,2,16456,15142,31598
천호,8호선,2,2258,2878,,0,,,,0,,30,1,15413,17510,32923
가양,9호선,1,,,,1,1,26,4,30,,84,0,21184,20685,41870
개화,9호선,1,,,,0,1,4,2,30,,58,0,2617,1822,4440
고속터미널,9호선,3,,,,7,4,32,4,30,,108,0,15622,21576,37198
공항시장,9호선,1,,,,1,1,18,3,30,,102,0,2968,3170,6138
구반포,9호선,1,,,,1,1,12,3,40,,81,1,1213,1187,2401
